Time_1,user,likes_count,url,twitterID,howOld
0000/01/26 17:24:55,jamjam,1,https://qiita.com/jamjam/items/5604291128f728e8375b,,1
0000/01/26 20:30:46,jellied_unagi,0,https://qiita.com/jellied_unagi/items/6e606f211021c5540c33,jellied_unagi,9
0000/01/27 00:39:15,stozaki,5,https://qiita.com/stozaki/items/096f1a04c158d61f8246,,2
0000/01/27 14:54:18,Ishotihadus,6,https://qiita.com/Ishotihadus/items/f012a796ee6ec5146952,Ishotihadus,1
0000/01/28 03:56:19,stozaki,24,https://qiita.com/stozaki/items/e4fa14c36f6c134e53e7,,2
0000/01/28 22:10:03,katsu1110,649,https://qiita.com/katsu1110/items/423fc9ac567710a1bd9b,kk1110tt,5
0000/01/28 23:01:40,HiroMiyawaki,0,https://qiita.com/HiroMiyawaki/items/9f07b33fa52a802cf7dc,,1
0000/01/29 10:32:55,HiroMiyawaki,2,https://qiita.com/HiroMiyawaki/items/f3087ecf047d17fad003,,1
0000/01/29 14:57:26,HiroMiyawaki,1,https://qiita.com/HiroMiyawaki/items/3b180ed9405631369d95,,1
0000/01/29 16:03:43,HiroMiyawaki,2,https://qiita.com/HiroMiyawaki/items/f42520cb37ca4afb26c5,,1
0000/01/29 23:54:13,HiroMiyawaki,1,https://qiita.com/HiroMiyawaki/items/fc0e4aa4477250779635,,1
0000/01/30 16:38:42,mizunototori,6,https://qiita.com/mizunototori/items/880d2d6e91b7f291e11e,,4
0000/01/31 00:22:13,HiroMiyawaki,2,https://qiita.com/HiroMiyawaki/items/e0002ef39dc8717938a3,,1
0000/01/31 01:09:40,HiroMiyawaki,1,https://qiita.com/HiroMiyawaki/items/ecfe9515935be26fdd49,,1
0000/01/31 11:35:23,mizunototori,9,https://qiita.com/mizunototori/items/38291518110849e91a4c,,4
0000/01/31 17:10:06,AraNeco,3,https://qiita.com/AraNeco/items/fc001c205955734109ac,,2
0000/02/01 06:56:28,9W3R7Y,4,https://qiita.com/9W3R7Y/items/5b17415436bc367af11a,,1
0000/02/01 10:51:38,tommyecguitar,9,https://qiita.com/tommyecguitar/items/dced11d28007d07edf95,,2
0000/02/01 15:25:55,Inoue_Minoru,12,https://qiita.com/Inoue_Minoru/items/191a6f76c97591e87be8,henjin01_Fab,2
0000/02/01 20:30:22,KOICHI_5963,8,https://qiita.com/KOICHI_5963/items/20ba0ed5b9073b6b03a0,5963_ROUTE,2
0000/02/02 00:45:56,HiroMiyawaki,1,https://qiita.com/HiroMiyawaki/items/ab1c9adc401791e830d4,,1
0000/02/02 01:38:41,HiroMiyawaki,1,https://qiita.com/HiroMiyawaki/items/712f7bd5a6fd1cc80beb,,1
0000/02/02 20:54:39,eigs,49,https://qiita.com/eigs/items/c1675e6dc6fd497e714a,michio_MWJ,2
0000/02/03 14:17:50,HiroMiyawaki,1,https://qiita.com/HiroMiyawaki/items/295db08776e20c113c4f,,1
